Load ID,Pickup Date,Truck ID,Driver Name,Lane,Miles,Revenue USD,Est Cost USD,Profit USD,Profit Margin %
L000490,2025-03-16,T0352,Morgan Jones,"Miami, FL → Jacksonville, FL",528,1525.92,896.72,629.2,41.23
L000491,2025-07-05,T0227,Taylor Rodriguez,"Atlanta, GA → New York, NY",1799,4137.7,3256.26,881.44,21.3
L000492,2025-07-03,T0351,Harper Rodriguez,"Nashville, TN → San Diego, CA",2161,4451.66,3774.21,677.45,15.22
L000493,2025-08-10,T0150,Hayden Martin,"Miami, FL → Raleigh, NC",1109,2583.97,2048.86,535.11,20.71
L000494,2025-06-27,T0116,Alex Jones,"San Antonio, TX → Orlando, FL",769,2183.96,1382.53,801.43,36.7
L000495,2025-03-14,T0151,Finley Lopez,"Denver, CO → Milwaukee, WI",767,1802.45,1197.55,604.9,33.56
L000496,2025-03-23,T0008,Finley Taylor,"Boston, MA → Baltimore, MD",346,771.58,534.24,237.34,30.76
L000497,2025-01-28,T0099,Finley Thomas,"Charlotte, NC → Raleigh, NC",922,1631.94,1804.48,-172.54,-10.57
L000498,2025-02-23,T0356,Casey Garcia,"Miami, FL → Norfolk, VA",215,700.9,368.2,332.7,47.47
L000499,2025-01-01,T0015,Morgan Gonzalez,"Dallas, TX → Tampa, FL",2044,4415.04,3451.09,963.95,21.83
L000500,2025-04-12,T0068,Kai Brown,"Seattle, WA → Salt Lake City, UT",948,1602.12,1840.48,-238.36,-14.88
L000501,2025-07-30,T0160,Avery Anderson,"Memphis, TN → Minneapolis, MN",872,1909.68,1566.01,343.67,18.0
L000502,2025-03-22,T0244,Kai Martin,"Chicago, IL → Richmond, VA",1705,3597.55,2774.96,822.59,22.87
L000503,2025-05-14,T0230,Hayden Taylor,"Denver, CO → Boise, ID",1291,2969.3,2318.52,650.78,21.92
L000504,2025-05-19,T0341,Harper Davis,"Los Angeles, CA → Tampa, FL",677,1902.37,1151.04,751.33,39.49
L000505,2025-01-23,T0296,Avery Miller,"Portland, OR → Boise, ID",489,1281.18,806.95,474.23,37.02
L000506,2025-05-13,T0147,Logan Hernandez,"Nashville, TN → Orlando, FL",1128,1872.48,1991.62,-119.14,-6.36
L000507,2025-07-22,T0157,Kai Johnson,"Memphis, TN → Tampa, FL",1554,3760.68,2892.89,867.79,23.08
L000508,2025-04-29,T0121,Harper Gonzalez,"Newark, NJ → Salt Lake City, UT",1817,3161.58,2759.15,402.43,12.73
L000509,2025-07-17,T0020,Logan Thomas,"Los Angeles, CA → Orlando, FL",2457,5454.54,3907.3,1547.24,28.37
L000510,2025-01-10,T0004,Avery Anderson,"Memphis, TN → Birmingham, AL",847,1694.0,1699.11,-5.11,-0.3
L000511,2025-07-11,T0286,Jesse Martin,"Atlanta, GA → Raleigh, NC",1336,2658.64,2108.95,549.69,20.68
L000512,2025-03-12,T0154,Harper Miller,"Portland, OR → Baltimore, MD",212,725.04,399.17,325.87,44.95
L000513,2025-06-25,T0158,Casey Garcia,"Seattle, WA → Tampa, FL",2383,5933.67,4031.69,1901.98,32.05
L000514,2025-07-22,T0011,Morgan Miller,"Portland, OR → Minneapolis, MN",2479,4809.26,4098.05,711.21,14.79
L000515,2025-06-22,T0126,Avery Miller,"Chicago, IL → Richmond, VA",1892,4389.44,3682.9,706.54,16.1
L000516,2025-05-27,T0060,Hayden Martin,"Kansas City, MO → Jacksonville, FL",2231,4952.82,3487.12,1465.7,29.59
L000517,2025-05-26,T0140,Harper Smith,"Phoenix, AZ → Philadelphia, PA",1626,2796.72,2903.08,-106.36,-3.8
L000518,2025-01-12,T0162,Rowan Taylor,"Dallas, TX → Cincinnati, OH",1830,3989.4,3261.52,727.88,18.25
L000519,2025-01-30,T0326,Riley Garcia,"Nashville, TN → San Jose, CA",1514,2740.34,2564.06,176.28,6.43
L000520,2025-07-01,T0299,Casey Rodriguez,"Seattle, WA → Pittsburgh, PA",1792,3924.48,2943.7,980.78,24.99
L000521,2025-04-22,T0229,Avery Martinez,"Newark, NJ → Baltimore, MD",817,1960.8,1527.28,433.52,22.11
L000522,2025-01-24,T0089,Casey Smith,"Chicago, IL → Boise, ID",1714,2828.1,2941.03,-112.93,-3.99
L000523,2025-02-07,T0142,Taylor Wilson,"Boston, MA → Baltimore, MD",2217,5076.93,3477.16,1599.77,31.51
L000524,2025-07-21,T0191,Kai Thomas,"Charlotte, NC → Minneapolis, MN",1810,3529.5,3354.42,175.08,4.96
L000525,2025-05-27,T0092,Harper Williams,"Los Angeles, CA → Birmingham, AL",2049,4671.72,3439.67,1232.05,26.37
L000526,2025-01-17,T0254,Drew Rodriguez,"Los Angeles, CA → San Jose, CA",1938,3352.74,3300.42,52.32,1.56
L000527,2025-04-17,T0351,Reese Moore,"Charlotte, NC → Orlando, FL",638,1486.54,1247.1,239.44,16.11
L000528,2025-07-02,T0143,Harper Hernandez,"Atlanta, GA → Pittsburgh, PA",1056,2397.12,1711.27,685.85,28.61
L000529,2025-09-14,T0097,Morgan Lopez,"Portland, OR → San Jose, CA",2190,4774.2,3635.61,1138.59,23.85
L000530,2025-08-07,T0398,Taylor Gonzalez,"Los Angeles, CA → Louisville, KY",817,1380.73,1531.31,-150.58,-10.91
L000531,2025-03-19,T0165,Jesse Brown,"Boston, MA → Minneapolis, MN",1732,2944.4,2922.09,22.31,0.76
L000532,2025-09-12,T0095,Riley Moore,"Boston, MA → Milwaukee, WI",953,1810.7,1670.34,140.36,7.75
L000533,2025-07-20,T0330,Rowan Garcia,"Kansas City, MO → Raleigh, NC",764,2162.12,1488.66,673.46,31.15
L000534,2025-02-01,T0198,Harper Wilson,"Miami, FL → Jacksonville, FL",819,1605.24,1328.56,276.68,17.24
L000535,2025-05-30,T0196,Cameron Moore,"Newark, NJ → Minneapolis, MN",1295,3172.75,2275.07,897.68,28.29
L000536,2025-03-30,T0328,Drew Miller,"Indianapolis, IN → San Jose, CA",181,698.66,331.89,366.77,52.5
L000537,2025-07-05,T0204,Cameron Brown,"Charlotte, NC → Louisville, KY",2439,4926.78,4125.45,801.33,16.26
L000538,2025-01-13,T0105,Micah Wilson,"Miami, FL → Raleigh, NC",1847,4229.63,2838.57,1391.06,32.89
L000539,2025-09-10,T0092,Alex Johnson,"Phoenix, AZ → Jacksonville, FL",877,1710.15,1604.02,106.13,6.21
L000540,2025-08-20,T0230,Reese Miller,"Memphis, TN → Salt Lake City, UT",1238,2401.72,2113.07,288.65,12.02
L000541,2025-06-27,T0207,Micah Jackson,"Savannah, GA → Tampa, FL",1335,2456.4,2389.37,67.03,2.73
L000542,2025-02-23,T0110,Hayden Moore,"Charlotte, NC → Raleigh, NC",889,1689.1,1466.24,222.86,13.19
L000543,2025-01-07,T0074,Finley Davis,"Miami, FL → Jacksonville, FL",239,908.2,430.91,477.29,52.55
L000544,2025-01-29,T0289,Taylor Rodriguez,"Phoenix, AZ → Salt Lake City, UT",863,1941.75,1556.47,385.28,19.84
L000545,2025-07-20,T0227,Drew Williams,"Nashville, TN → Philadelphia, PA",959,1870.05,1704.02,166.03,8.88
L000546,2025-05-19,T0196,Quinn Thomas,"Charlotte, NC → Buffalo, NY",1941,3687.9,3994.87,-306.97,-8.32
L000547,2025-03-31,T0183,Jesse Martinez,"San Antonio, TX → Philadelphia, PA",1115,2296.9,1852.25,444.65,19.36
L000548,2025-05-23,T0001,Avery Jones,"Houston, TX → Norfolk, VA",1912,4168.16,3005.6,1162.56,27.89
L000549,2025-03-12,T0228,Emerson Williams,"Miami, FL → San Jose, CA",401,1275.18,754.06,521.12,40.87
L000550,2025-09-08,T0078,Alex Williams,"Chicago, IL → Norfolk, VA",1811,2970.04,3074.07,-104.03,-3.5
L000551,2025-02-17,T0285,Hayden Martin,"Boston, MA → Norfolk, VA",1586,2981.68,2519.32,462.36,15.51
L000552,2025-03-10,T0034,Rowan Jackson,"Dallas, TX → Richmond, VA",896,1720.32,1684.99,35.33,2.05
L000553,2025-03-12,T0183,Kai Martinez,"Memphis, TN → San Jose, CA",877,1885.55,1468.58,416.97,22.11
L000554,2025-08-17,T0209,Reese Williams,"Savannah, GA → Buffalo, NY",157,514.96,274.2,240.76,46.75
L000555,2025-09-14,T0190,Quinn Taylor,"Denver, CO → Norfolk, VA",2283,4497.51,3865.04,632.47,14.06
L000556,2025-06-26,T0017,Taylor Smith,"Newark, NJ → Jacksonville, FL",1439,2331.18,2383.85,-52.67,-2.26
L000557,2025-04-15,T0170,Taylor Moore,"Nashville, TN → New York, NY",1386,3201.66,2504.58,697.08,21.77
L000558,2025-07-31,T0037,Finley Lopez,"Savannah, GA → Cincinnati, OH",2137,4466.33,4106.6,359.73,8.05
L000559,2025-07-09,T0229,Alex Thomas,"Los Angeles, CA → Richmond, VA",1380,3312.0,2497.38,814.62,24.6
L000560,2025-08-05,T0317,Alex Thomas,"Indianapolis, IN → New York, NY",1487,3628.28,2905.59,722.69,19.92
L000561,2025-02-26,T0370,Riley Thomas,"Atlanta, GA → Jacksonville, FL",2326,4070.5,3835.03,235.47,5.78
L000562,2025-03-13,T0162,Quinn Williams,"Houston, TX → Norfolk, VA",547,1219.81,955.95,263.86,21.63
L000563,2025-05-03,T0222,Emerson Williams,"Dallas, TX → Louisville, KY",241,865.19,463.93,401.26,46.38
L000564,2025-04-20,T0355,Jordan Thomas,"Nashville, TN → Jacksonville, FL",1769,3343.41,3268.92,74.49,2.23
L000565,2025-07-01,T0347,Hayden Garcia,"Atlanta, GA → Minneapolis, MN",433,1069.51,652.54,416.97,38.99
L000566,2025-09-11,T0329,Avery Miller,"Memphis, TN → Boise, ID",591,1489.32,1100.75,388.57,26.09
L000567,2025-06-14,T0105,Hayden Moore,"Denver, CO → Boise, ID",541,1309.22,948.25,360.97,27.57
L000568,2025-07-18,T0122,Quinn Martinez,"San Antonio, TX → San Diego, CA",1987,4729.06,3029.93,1699.13,35.93
L000569,2025-01-25,T0092,Hayden Lopez,"Kansas City, MO → Boise, ID",2323,5342.9,4299.9,1043.0,19.52
L000570,2025-07-13,T0026,Alex Smith,"Houston, TX → Cincinnati, OH",1285,2441.5,2044.48,397.02,16.26
L000571,2025-04-11,T0056,Finley Martin,"Nashville, TN → Louisville, KY",1881,4514.4,3531.62,982.78,21.77
L000572,2025-06-22,T0179,Kai Johnson,"Dallas, TX → Philadelphia, PA",1491,3578.4,2575.41,1002.99,28.03
L000573,2025-01-23,T0035,Cameron Rodriguez,"Savannah, GA → Tampa, FL",150,484.5,262.2,222.3,45.88
L000574,2025-02-23,T0244,Reese Williams,"Atlanta, GA → New York, NY",525,1370.25,941.9,428.35,31.26
L000575,2025-09-14,T0365,Morgan Miller,"Nashville, TN → Boise, ID",1971,4395.33,3848.45,546.88,12.44
L000576,2025-04-15,T0094,Jordan Lopez,"Indianapolis, IN → Tampa, FL",1622,2724.96,2984.95,-259.99,-9.54
L000577,2025-06-28,T0048,Rowan Martinez,"Los Angeles, CA → Cincinnati, OH",2016,4677.12,3462.79,1214.33,25.96
L000578,2025-08-20,T0084,Alex Martin,"Nashville, TN → Buffalo, NY",2271,4224.06,3831.56,392.5,9.29
L000579,2025-06-30,T0052,Jordan Taylor,"Miami, FL → Birmingham, AL",1436,3388.96,2670.25,718.71,21.21
L000580,2025-02-23,T0052,Drew Garcia,"San Antonio, TX → Richmond, VA",1300,2210.0,2334.26,-124.26,-5.62
L000581,2025-09-10,T0324,Cameron Gonzalez,"Dallas, TX → Philadelphia, PA",522,1237.14,945.03,292.11,23.61
L000582,2025-04-23,T0260,Casey Smith,"Columbus, OH → Birmingham, AL",867,1916.07,1382.18,533.89,27.86
L000583,2025-02-03,T0266,Finley Miller,"Seattle, WA → Birmingham, AL",1445,2543.2,2647.15,-103.95,-4.09
L000584,2025-06-09,T0198,Emerson Martinez,"Miami, FL → Pittsburgh, PA",136,497.76,253.0,244.76,49.17
L000585,2025-07-26,T0132,Jesse Taylor,"Portland, OR → Richmond, VA",2040,4059.6,3249.3,810.3,19.96
L000586,2025-03-08,T0148,Harper Gonzalez,"Los Angeles, CA → Salt Lake City, UT",648,1989.36,1126.39,862.97,43.38
L000587,2025-08-01,T0355,Finley Jackson,"Los Angeles, CA → New York, NY",1048,2536.16,1966.8,569.36,22.45
L000588,2025-05-26,T0152,Casey Johnson,"Phoenix, AZ → Louisville, KY",636,1844.4,1109.48,734.92,39.85
L000589,2025-01-15,T0308,Taylor Smith,"Atlanta, GA → Philadelphia, PA",2084,3438.6,3647.88,-209.28,-6.09
L000590,2025-06-22,T0186,Cameron Moore,"Seattle, WA → Buffalo, NY",2446,5968.24,3832.76,2135.48,35.78
L000591,2025-02-27,T0206,Taylor Moore,"Indianapolis, IN → Minneapolis, MN",427,1238.3,714.29,524.01,42.32
L000592,2025-08-20,T0106,Casey Garcia,"Miami, FL → Baltimore, MD",2280,4286.4,3711.33,575.07,13.42
L000593,2025-03-01,T0100,Logan Miller,"Dallas, TX → Philadelphia, PA",1384,3100.16,2623.45,476.71,15.38
L000594,2025-02-19,T0199,Jordan Gonzalez,"Savannah, GA → Birmingham, AL",1412,2513.36,2660.96,-147.6,-5.87
L000595,2025-01-31,T0126,Rowan Taylor,"Portland, OR → Pittsburgh, PA",606,1539.24,1031.92,507.32,32.96
L000596,2025-01-01,T0235,Drew Williams,"San Antonio, TX → Raleigh, NC",1045,2560.25,1763.7,796.55,31.11
L000597,2025-03-01,T0247,Jesse Martinez,"Phoenix, AZ → Jacksonville, FL",594,1437.48,1011.31,426.17,29.65
L000598,2025-03-17,T0219,Rowan Gonzalez,"Memphis, TN → Cincinnati, OH",645,1825.35,1107.83,717.52,39.31
L000599,2025-01-19,T0205,Micah Wilson,"Atlanta, GA → Cincinnati, OH",1827,3105.9,3586.88,-480.98,-15.49
L000600,2025-06-19,T0320,Drew Miller,"Phoenix, AZ → Salt Lake City, UT",900,1710.0,1490.26,219.74,12.85
L000601,2025-08-10,T0008,Jesse Martinez,"Atlanta, GA → Milwaukee, WI",614,1866.56,1224.71,641.85,34.39
L000602,2025-05-08,T0193,Harper Martin,"Miami, FL → Jacksonville, FL",632,1580.0,1078.97,501.03,31.71
L000603,2025-02-22,T0239,Rowan Martinez,"Atlanta, GA → Cincinnati, OH",1328,2948.16,2324.32,623.84,21.16
L000604,2025-04-10,T0140,Alex Williams,"Memphis, TN → Tampa, FL",1632,3720.96,3043.66,677.3,18.2
L000605,2025-01-21,T0312,Cameron Moore,"Dallas, TX → Pittsburgh, PA",1676,3670.44,2823.95,846.49,23.06
L000606,2025-03-17,T0383,Drew Williams,"San Antonio, TX → Boise, ID",591,1353.39,1018.35,335.04,24.76
L000607,2025-09-15,T0359,Kai Johnson,"Seattle, WA → Tampa, FL",1754,2823.94,3008.33,-184.39,-6.53
L000608,2025-05-14,T0390,Jordan Gonzalez,"Charlotte, NC → Louisville, KY",1440,2880.0,2489.48,390.52,13.56
L000609,2025-04-30,T0112,Hayden Moore,"Memphis, TN → Louisville, KY",796,2324.32,1506.74,817.58,35.18
L000610,2025-07-20,T0242,Rowan Brown,"Atlanta, GA → Salt Lake City, UT",128,439.04,275.55,163.49,37.24
L000611,2025-02-12,T0207,Rowan Jackson,"Denver, CO → Raleigh, NC",1162,2579.64,1994.78,584.86,22.67
L000612,2025-02-17,T0309,Jordan Taylor,"Denver, CO → Richmond, VA",924,2005.08,1543.4,461.68,23.03
L000613,2025-01-09,T0101,Jesse Taylor,"Kansas City, MO → Birmingham, AL",470,1419.4,849.54,569.86,40.15
L000614,2025-07-29,T0260,Taylor Johnson,"Los Angeles, CA → Cincinnati, OH",1049,2538.58,1931.51,607.07,23.91
L000615,2025-08-25,T0397,Hayden Lopez,"Chicago, IL → Salt Lake City, UT",879,1450.35,1690.97,-240.62,-16.59
L000616,2025-03-02,T0089,Rowan Brown,"Atlanta, GA → Baltimore, MD",569,1297.32,981.8,315.52,24.32
L000617,2025-06-23,T0133,Finley Jackson,"Phoenix, AZ → Buffalo, NY",890,1762.2,1544.34,217.86,12.36
L000618,2025-05-02,T0113,Alex Thomas,"Nashville, TN → Salt Lake City, UT",618,1446.12,1108.15,337.97,23.37
L000619,2025-04-08,T0150,Kai Garcia,"Nashville, TN → Salt Lake City, UT",419,1047.5,808.33,239.17,22.83
L000620,2025-03-15,T0324,Reese Gonzalez,"Savannah, GA → Birmingham, AL",495,1351.35,952.6,398.75,29.51
L000621,2025-08-11,T0341,Logan Hernandez,"Atlanta, GA → Cincinnati, OH",1844,3983.04,3100.99,882.05,22.15
L000622,2025-07-06,T0032,Morgan Gonzalez,"Dallas, TX → Birmingham, AL",973,2393.58,1905.45,488.13,20.39
L000623,2025-08-29,T0056,Finley Lopez,"Los Angeles, CA → Tampa, FL",2000,4700.0,3771.01,928.99,19.77
L000624,2025-05-13,T0129,Hayden Taylor,"Atlanta, GA → Tampa, FL",2136,3503.04,3792.71,-289.67,-8.27
L000625,2025-07-06,T0325,Taylor Rodriguez,"Charlotte, NC → Buffalo, NY",1980,3207.6,3528.59,-320.99,-10.01
L000626,2025-01-04,T0236,Harper Miller,"Phoenix, AZ → New York, NY",1334,3294.98,2652.45,642.53,19.5
L000627,2025-08-12,T0063,Harper Miller,"Houston, TX → Birmingham, AL",735,2190.3,1345.94,844.36,38.55
L000628,2025-02-24,T0171,Riley Moore,"San Antonio, TX → Boise, ID",242,745.36,373.66,371.7,49.87
L000629,2025-03-20,T0079,Avery Anderson,"Kansas City, MO → San Diego, CA",617,1511.65,1094.53,417.12,27.59
L000630,2025-08-22,T0056,Logan Lopez,"Newark, NJ → Philadelphia, PA",1505,3536.75,2931.78,604.97,17.11
L000631,2025-07-07,T0367,Morgan Jones,"Miami, FL → Louisville, KY",1916,4368.48,3269.57,1098.91,25.16
L000632,2025-07-28,T0372,Finley Jackson,"Savannah, GA → Cincinnati, OH",1325,2954.75,2307.65,647.1,21.9
L000633,2025-04-30,T0298,Kai Brown,"Kansas City, MO → Norfolk, VA",1847,4599.03,3324.7,1274.33,27.71
L000634,2025-06-09,T0286,Harper Davis,"Atlanta, GA → Richmond, VA",1148,2089.36,1896.95,192.41,9.21
L000635,2025-04-25,T0193,Quinn Garcia,"Portland, OR → Norfolk, VA",2223,4379.31,4182.25,197.06,4.5
L000636,2025-03-06,T0289,Alex Williams,"Nashville, TN → San Diego, CA",856,1968.8,1592.18,376.62,19.13
L000637,2025-06-12,T0400,Alex Martinez,"Portland, OR → Salt Lake City, UT",1683,3433.32,2968.95,464.37,13.53
L000638,2025-03-16,T0260,Jesse Williams,"San Antonio, TX → Tampa, FL",1872,3968.64,3422.29,546.35,13.77
L000639,2025-03-01,T0299,Harper Gonzalez,"Dallas, TX → Salt Lake City, UT",2375,5391.25,3817.67,1573.58,29.19
L000640,2025-08-30,T0310,Rowan Gonzalez,"Dallas, TX → Birmingham, AL",1517,3034.0,2421.05,612.95,20.2
L000641,2025-01-22,T0297,Hayden Martin,"Charlotte, NC → Philadelphia, PA",2459,5065.54,3997.96,1067.58,21.08
L000642,2025-01-02,T0352,Reese Williams,"Memphis, TN → Cincinnati, OH",1547,2598.96,2482.32,116.64,4.49
L000643,2025-06-22,T0386,Quinn Martinez,"Los Angeles, CA → Richmond, VA",1306,2873.2,2454.47,418.73,14.57
L000644,2025-02-23,T0072,Morgan Lopez,"Chicago, IL → Jacksonville, FL",306,914.94,580.23,334.71,36.58
L000645,2025-06-03,T0072,Reese Garcia,"Portland, OR → Orlando, FL",2128,3532.48,3716.1,-183.62,-5.2
L000646,2025-05-04,T0221,Finley Jones,"Chicago, IL → Orlando, FL",2453,5200.36,4208.64,991.72,19.07
L000647,2025-09-17,T0018,Micah Brown,"Atlanta, GA → Jacksonville, FL",258,897.84,594.85,302.99,33.75
L000648,2025-09-09,T0248,Rowan Taylor,"Phoenix, AZ → Philadelphia, PA",202,709.02,427.84,281.18,39.66
L000649,2025-08-06,T0180,Logan Lopez,"Miami, FL → Philadelphia, PA",1276,2386.12,2357.85,28.27,1.18
L000650,2025-06-27,T0275,Taylor Miller,"Newark, NJ → Orlando, FL",407,1245.42,772.16,473.26,38.0
L000651,2025-04-14,T0373,Jordan Lopez,"Los Angeles, CA → San Jose, CA",1933,4793.84,3285.74,1508.1,31.46
L000652,2025-09-09,T0281,Avery Jones,"Columbus, OH → Richmond, VA",307,927.14,535.66,391.48,42.22
L000653,2025-06-08,T0222,Finley Taylor,"Portland, OR → Tampa, FL",1999,3878.06,3681.72,196.34,5.06
L000654,2025-07-11,T0304,Casey Rodriguez,"Seattle, WA → Milwaukee, WI",823,1596.62,1471.61,125.01,7.83
L000655,2025-02-05,T0060,Jesse Williams,"Kansas City, MO → Salt Lake City, UT",1696,4223.04,2736.19,1486.85,35.21
L000656,2025-08-06,T0106,Reese Miller,"Dallas, TX → Milwaukee, WI",184,695.52,317.54,377.98,54.34
L000657,2025-04-07,T0336,Cameron Brown,"Kansas City, MO → San Diego, CA",1723,3446.0,3167.93,278.07,8.07
L000658,2025-09-12,T0241,Jordan Gonzalez,"Seattle, WA → New York, NY",1935,4527.9,3408.16,1119.74,24.73
L000659,2025-05-12,T0063,Harper Taylor,"Charlotte, NC → Tampa, FL",1916,3448.8,3248.89,199.91,5.8
L000660,2025-05-25,T0080,Kai Brown,"Phoenix, AZ → Jacksonville, FL",580,1711.0,1049.46,661.54,38.66
L000661,2025-08-12,T0221,Taylor Miller,"Nashville, TN → Orlando, FL",243,843.21,404.35,438.86,52.05
L000662,2025-04-04,T0355,Riley Garcia,"Chicago, IL → Baltimore, MD",291,1038.87,559.55,479.32,46.14
L000663,2025-01-08,T0025,Avery Jones,"Dallas, TX → Tampa, FL",981,1687.32,1833.63,-146.31,-8.67
L000664,2025-01-02,T0135,Kai Garcia,"Denver, CO → Louisville, KY",1110,2408.7,1852.03,556.67,23.11
L000665,2025-08-22,T0303,Rowan Jackson,"Savannah, GA → Baltimore, MD",2260,4610.4,4209.31,401.09,8.7
L000666,2025-05-26,T0369,Jordan Gonzalez,"Portland, OR → Orlando, FL",221,842.01,452.56,389.45,46.25
L000667,2025-03-08,T0105,Riley Thomas,"Los Angeles, CA → Jacksonville, FL",1663,3858.16,3108.86,749.3,19.42
L000668,2025-09-05,T0194,Taylor Rodriguez,"Savannah, GA → Buffalo, NY",2451,4607.88,4097.82,510.06,11.07
L000669,2025-08-30,T0239,Jesse Martin,"Charlotte, NC → New York, NY",2454,5766.9,4615.06,1151.84,19.97
L000670,2025-08-14,T0130,Harper Davis,"Portland, OR → Baltimore, MD",1413,2924.91,2443.23,481.68,16.47
L000671,2025-07-03,T0360,Harper Davis,"Kansas City, MO → Louisville, KY",372,885.36,600.79,284.57,32.14
L000672,2025-02-28,T0126,Hayden Anderson,"Chicago, IL → Richmond, VA",1694,3675.98,3046.03,629.95,17.14
L000673,2025-07-20,T0113,Riley Moore,"Denver, CO → Norfolk, VA",359,1127.26,629.67,497.59,44.14
L000674,2025-06-21,T0183,Rowan Jackson,"Atlanta, GA → Baltimore, MD",1707,3738.33,3427.82,310.51,8.31
L000675,2025-02-04,T0320,Alex Brown,"Houston, TX → Orlando, FL",1141,2350.46,1948.77,401.69,17.09
L000676,2025-03-18,T0305,Jesse Martinez,"Phoenix, AZ → Minneapolis, MN",756,2351.16,1292.01,1059.15,45.05
L000677,2025-01-07,T0006,Finley Jackson,"Phoenix, AZ → New York, NY",2435,5137.85,4416.45,721.4,14.04
L000678,2025-03-24,T0032,Hayden Hernandez,"Newark, NJ → Louisville, KY",1145,1889.25,1972.91,-83.66,-4.43
L000679,2025-06-06,T0142,Harper Hernandez,"Portland, OR → Milwaukee, WI",1646,3983.32,2792.43,1190.89,29.9
L000680,2025-05-04,T0340,Cameron Williams,"Boston, MA → Buffalo, NY",1922,3363.5,3014.3,349.2,10.38
L000681,2025-07-22,T0345,Cameron Moore,"Los Angeles, CA → Orlando, FL",2145,4011.15,3650.86,360.29,8.98
L000682,2025-02-13,T0318,Morgan Lopez,"Memphis, TN → Pittsburgh, PA",2126,4868.54,3015.26,1853.28,38.07
L000683,2025-03-17,T0258,Rowan Jackson,"Indianapolis, IN → Pittsburgh, PA",1131,2081.04,2004.27,76.77,3.69
L000684,2025-01-29,T0339,Jesse Williams,"Denver, CO → Raleigh, NC",2230,5418.9,3933.62,1485.28,27.41
L000685,2025-05-16,T0082,Emerson Taylor,"Savannah, GA → Pittsburgh, PA",1899,3779.01,3310.87,468.14,12.39
L000686,2025-06-03,T0384,Morgan Jones,"Chicago, IL → Milwaukee, WI",2106,3706.56,3392.41,314.15,8.48
L000687,2025-05-11,T0036,Avery Thomas,"Memphis, TN → Cincinnati, OH",983,1779.23,1714.24,64.99,3.65
L000688,2025-05-11,T0085,Kai Brown,"Charlotte, NC → Philadelphia, PA",1724,2827.36,3199.3,-371.94,-13.16
L000689,2025-02-12,T0327,Logan Thomas,"Nashville, TN → Pittsburgh, PA",1743,4061.19,2974.89,1086.3,26.75
L000690,2025-09-10,T0400,Taylor Johnson,"Kansas City, MO → Buffalo, NY",1816,3523.04,3129.71,393.33,11.16
L000691,2025-09-10,T0233,Logan Lopez,"Boston, MA → Jacksonville, FL",1353,2273.04,2245.33,27.71,1.22
L000692,2025-07-13,T0362,Emerson Jackson,"Newark, NJ → Baltimore, MD",1214,2100.22,2154.64,-54.42,-2.59
L000693,2025-09-08,T0126,Micah Wilson,"Houston, TX → Milwaukee, WI",294,931.98,504.5,427.48,45.87
L000694,2025-02-17,T0014,Alex Johnson,"Nashville, TN → New York, NY",471,1116.27,844.1,272.17,24.38
L000695,2025-07-28,T0296,Jordan Gonzalez,"Seattle, WA → Buffalo, NY",691,1616.94,1317.82,299.12,18.5
L000696,2025-07-25,T0335,Casey Rodriguez,"Houston, TX → Louisville, KY",1842,4181.34,3459.33,722.01,17.27
L000697,2025-01-08,T0151,Logan Thomas,"Nashville, TN → Minneapolis, MN",2074,3567.28,3062.09,505.19,14.16
L000698,2025-06-07,T0285,Drew Miller,"Indianapolis, IN → Birmingham, AL",2492,5681.76,3960.77,1720.99,30.29
L000699,2025-06-17,T0209,Reese Gonzalez,"Newark, NJ → Birmingham, AL",1941,4134.33,3763.04,371.29,8.98
L000700,2025-05-29,T0089,Jordan Thomas,"Houston, TX → New York, NY",1370,3205.8,2421.69,784.11,24.46
L000701,2025-09-03,T0053,Morgan Lopez,"Denver, CO → Richmond, VA",1832,3389.2,3052.94,336.26,9.92
L000702,2025-01-23,T0205,Hayden Moore,"Miami, FL → Orlando, FL",1410,3440.4,2272.54,1167.86,33.95
L000703,2025-07-07,T0152,Cameron Williams,"Nashville, TN → Minneapolis, MN",538,1409.56,948.8,460.76,32.69
L000704,2025-01-04,T0378,Jordan Gonzalez,"Phoenix, AZ → Norfolk, VA",606,1345.32,1091.36,253.96,18.88
L000705,2025-06-13,T0032,Alex Martin,"Newark, NJ → Baltimore, MD",1869,4448.22,2984.48,1463.74,32.91
L000706,2025-03-12,T0266,Rowan Martinez,"Miami, FL → Birmingham, AL",424,1043.04,766.86,276.18,26.48
L000707,2025-09-12,T0157,Kai Johnson,"Portland, OR → Norfolk, VA",1605,3242.1,3028.93,213.17,6.58
L000708,2025-08-30,T0027,Casey Lopez,"Kansas City, MO → Richmond, VA",749,2172.1,1292.63,879.47,40.49
L000709,2025-03-14,T0218,Finley Martin,"Miami, FL → Buffalo, NY",899,2103.66,1692.81,410.85,19.53
L000710,2025-09-09,T0124,Harper Taylor,"Denver, CO → New York, NY",445,1165.9,718.39,447.51,38.38
L000711,2025-09-18,T0127,Taylor Wilson,"Columbus, OH → Raleigh, NC",571,1427.5,933.62,493.88,34.6
L000712,2025-09-08,T0266,Harper Gonzalez,"Boston, MA → Norfolk, VA",263,1036.22,478.37,557.85,53.83
L000713,2025-08-20,T0016,Micah Smith,"Nashville, TN → Buffalo, NY",1118,2247.18,1931.13,316.05,14.06
